date,exchange,fromSymbol,toSymbol,close,high,low,open,volumefrom,volumeto
2019-07-21,ABCC,TRX,BTC,0.0000044,0.0000044,0.0000044,0.0000044,0,0
2019-07-21,ABCC,MBN,USDT,0.003,0.003,0.003,0.003,0,0
2019-07-21,ABCC,OCN,ETH,0.0000135,0.0000135,0.0000135,0.0000135,0,0
2019-07-21,ABCC,ARBT,USDT,0.09,0.09,0.09,0.09,0,0
2019-07-21,ABCC,MBN,BTC,5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,0
2019-07-21,ABCC,LBA,ETH,0.0002225,0.0002225,0.0002225,0.0002225,0,0
2019-07-21,ABCC,TRX,USDT,0.0282,0.0282,0.0282,0.0282,0,0
2019-07-21,ABCC,BEE,BTC,2.2e-7,2.2e-7,2.2e-7,2.2e-7,0,0
2019-07-21,ABCC,GRIN,USDT,4.857,4.857,4.857,4.857,0,0
2019-07-21,ABCC,TRX,ETH,0.0001688,0.0001688,0.0001688,0.0001688,0,0
2019-07-21,ABCC,GRIN,BTC,0.000396,0.000396,0.000396,0.000396,0,0
2019-07-21,ABCC,SALT,ETH,0.003415,0.003415,0.003415,0.003415,0,0
2019-07-21,ABCC,CND,BTC,0.00000356,0.00000356,0.00000356,0.00000356,0,0
2019-07-21,ABCC,CND,ETH,0.0001029,0.0001029,0.0001029,0.0001029,0,0
2019-07-21,ABCC,SALT,BTC,0.00006898,0.00006898,0.00006898,0.00006898,0,0
2019-07-21,ABCC,ELF,BTC,0.00005639,0.00005639,0.00005639,0.00005639,0,0
2019-07-21,ABCC,RTE,BTC,0.00000152,0.00000152,0.00000152,0.00000152,0,0
2019-07-21,ABCC,RTE,ETH,0.00003577,0.00003577,0.00003577,0.00003577,0,0
2019-07-21,ABCC,ELF,ETH,0.00129,0.00129,0.00129,0.00129,0,0
2019-07-21,ABCC,WAVES,ETH,0.01134,0.01134,0.01134,0.01134,0,0
2019-07-21,ABCC,KIN,ETH,1.8e-7,1.8e-7,1.8e-7,1.8e-7,0.2045,4e-8
2019-07-21,ABCC,GNT,ETH,0.0003222,0.0003222,0.0003222,0.0003222,0,0
2019-07-21,ABCC,GNT,BTC,0.00002001,0.00002001,0.00002001,0.00002001,0,0
2019-07-21,ABCC,WAVES,USDT,2.22,2.22,2.22,2.22,0,0
2019-07-21,ABCC,CSM,BTC,0.00004711,0.00004711,0.00004711,0.00004711,0,0
2019-07-21,ABCC,ADA,ETH,0.0003173,0.0003173,0.0003173,0.0003173,0,0
2019-07-21,ABCC,FUN,BTC,0.00000212,0.00000212,0.00000212,0.00000212,0,0
2019-07-21,ABCC,ADA,BTC,0.00001072,0.00001072,0.00001072,0.00001072,0,0
2019-07-21,ABCC,ADA,USDT,0.127,0.127,0.127,0.127,0,0
2019-07-21,ABCC,BAT,BTC,0.00004024,0.00004024,0.00004024,0.00004024,0,0
2019-07-21,ABCC,FUN,ETH,0.0000555,0.0000555,0.0000555,0.0000555,0,0
2019-07-21,ABCC,BAT,ETH,0.001329,0.001329,0.001329,0.001329,0,0
2019-07-21,ABCC,EDG,BTC,0.00003925,0.00003925,0.00003925,0.00003925,0,0
2019-07-21,ABCC,DIO,BTC,2.9e-7,2.9e-7,2.9e-7,2.9e-7,0,0
2019-07-21,ABCC,EDG,ETH,0.001,0.001,0.001,0.001,0,0
2019-07-21,ABCC,UFR,BTC,0.0000081,0.0000081,0.0000081,0.0000081,0,0
2019-07-21,ABCC,VENA,TRX,0.09731,0.09731,0.09731,0.09731,0,0
2019-07-21,ABCC,QTUM,ETH,0.01758,0.01758,0.01758,0.01758,0,0
2019-07-21,ABCC,QTUM,BTC,0.000572,0.000572,0.000572,0.000572,0,0
2019-07-21,ABCC,LTC,BTC,0.009015,0.009015,0.009015,0.009015,0,0
2019-07-21,ABCC,REP,ETH,0.06196,0.06196,0.06196,0.06196,0,0
2019-07-21,ABCC,REP,BTC,0.002865,0.002865,0.002865,0.002865,0,0
2019-07-21,ABCC,LTC,ETH,0.2641,0.2641,0.2641,0.2641,0,0
2019-07-21,ABCC,XSN,USDT,0.138,0.138,0.138,0.138,0,0
2019-07-21,ABCC,XSN,BTC,0.000014,0.000014,0.000014,0.000014,0,0
2019-07-21,ABCC,ICX,BTC,0.0000973,0.0000973,0.0000973,0.0000973,0,0
2019-07-21,ABCC,ICX,ETH,0.002285,0.002285,0.002285,0.002285,0,0
2019-07-21,ABCC,BTT,USDT,0.001719,0.001719,0.001719,0.001719,0,0
2019-07-21,ABCC,CNN,ETH,0.0000011,0.0000011,0.0000011,0.0000011,0,0
2019-07-21,ABCC,EOS,BTC,0.000788,0.000788,0.000788,0.000788,0,0
2019-07-21,ABCC,ICX,USDT,0.25,0.25,0.25,0.25,0,0
2019-07-21,ABCC,BTT,BTC,1.2e-7,1.2e-7,1.2e-7,1.2e-7,0,0
